position_api,position_calculated,title,publication,authors,self_citation_status,matched_text,link,data_cid
15,155,Antioxidant activities and lipid peroxidation status in human follicular fluid: age-dependent change,"H Debbarh, N Louanjli, S Aboulmaouahib, M Jamil… - Zygote, 2021 - cambridge.org",H Debbarh; N Louanjli; S Aboulmaouahib; M Jamil…,NO AUTOCITA,,https://www.cambridge.org/core/journals/zygote/article/antioxidant-activities-and-lipid-peroxidation-status-in-human-follicular-fluid-agedependent-change/DD95456667D836090C97F9E3C91BC459,Ps_rYuOIRL4J
16,156,FOXL2 drives the differentiation of supporting gonadal cells in early ovarian development,"L Danti, K Lundin, P Nedeczey-Ruzsák, T Tuuri… - Reproductive Biology …, 2025 - Springer",L Danti; K Lundin; P Nedeczey-Ruzsák; T Tuuri,NO AUTOCITA,,https://link.springer.com/article/10.1186/s12958-025-01377-0,G2Pg6fp1HQoJ
17,157,Contemporary genetic technologies and female reproduction,"… Group 2010 Fauser BCJM Diedrich K … - Human reproduction …, 2011 - academic.oup.com",… Group 2010 Fauser BCJM Diedrich K …,NO AUTOCITA,,https://academic.oup.com/humupd/article-abstract/17/6/829/877795,iv-HE0vU71AJ
18,158,Glutamate Cysteine Ligase Modifier Subunit (Gclm) Null Mice Have Increased Ovarian Oxidative Stress and Accelerated Age-Related Ovarian Failure,"J Lim, BN Nakamura, I Mohar, TJ Kavanagh… - …, 2015 - academic.oup.com",J Lim; BN Nakamura; I Mohar; TJ Kavanagh…,NO AUTOCITA,,https://academic.oup.com/endo/article-abstract/156/9/3329/2423017,Dt_WDo9w6N8J
19,159,FOXL2 Interacts with Steroidogenic Factor-1 (SF-1) and Represses SF-1-Induced CYP17 Transcription in Granulosa Cells,"M Park, E Shin, M Won, JH Kim, H Go… - Molecular …, 2010 - academic.oup.com",M Park; E Shin; M Won; JH Kim; H Go,NO AUTOCITA,,https://academic.oup.com/mend/article-abstract/24/5/1024/2706165,C3r2vraFCb8J
20,160,"Involvement of FOXL2 and RSPO1 in ovarian determination, development, and maintenance in mammals","M Pannetier, AA Chassot, MC Chaboissier… - Sexual …, 2016 - karger.com",M Pannetier; AA Chassot; MC Chaboissier…,NO AUTOCITA,,https://karger.com/sxd/article/10/4/167/296194,cYGIIlXiEMoJ
1,161,Genetics of the ovarian reserve,"E Pelosi, A Forabosco, D Schlessinger - Frontiers in genetics, 2015 - frontiersin.org",E Pelosi; A Forabosco; D Schlessinger,NO AUTOCITA,,https://www.frontiersin.org/journals/genetics/articles/10.3389/fgene.2015.00308/full,sO08k1iq_wQJ
2,162,Mutational analysis of FOXL2 codon 134 in granulosa cell tumour of ovary and other human cancers,"MS Kim, SY Hur, NJ Yoo, SH Lee - The Journal of pathology, 2010 - Wiley Online Library",MS Kim; SY Hur; NJ Yoo; SH Lee,NO AUTOCITA,,https://pathsocjournals.onlinelibrary.wiley.com/doi/abs/10.1002/path.2688,Bsvg-SCy_EUJ
3,163,FOXL2 and SOX9 as parameters of female and male gonadal differentiation in patients with various forms of disorders of sex development (DSD),"R Hersmus, N Kalfa, B de Leeuw… - The Journal of …, 2008 - Wiley Online Library",R Hersmus; N Kalfa; B de Leeuw…,NO AUTOCITA,,https://pathsocjournals.onlinelibrary.wiley.com/doi/abs/10.1002/path.2335,irqqKYukaCQJ
4,164,"In control of biology: of mice, men and Foxes","PJEC Wijchers, JPH Burbach, MP Smidt - Biochemical Journal, 2006 - portlandpress.com",PJEC Wijchers; JPH Burbach; MP Smidt,NO AUTOCITA,,https://portlandpress.com/biochemj/article-abstract/397/2/233/43714,WrkK22AtpWIJ
5,165,Single-cell exploration of gonadal somatic cell lineage specification during human sex determination,"A Lardenois, A Suglia, CL Moore, B Evrard, L Noël… - Developmental Cell, 2026 - cell.com",A Lardenois; A Suglia; CL Moore; B Evrard; L Noël…,NO AUTOCITA,,https://www.cell.com/developmental-cell/abstract/S1534-5807(25)00571-4,Wvc0Q3t1hBoJ
6,166,Aging changes the chromatin configuration and histone methylation of mouse oocytes at germinal vesicle stage,"I Manosalva, A González - Theriogenology, 2010 - Elsevier",I Manosalva; A González,NO AUTOCITA,,https://www.sciencedirect.com/science/article/pii/S0093691X10003420,TgosgqxPDTcJ
7,167,Minireview: roles of the forkhead transcription factor FOXL2 in granulosa cell biology and pathology,"MD Pisarska, G Barlow, FT Kuo - Endocrinology, 2011 - academic.oup.com",MD Pisarska; G Barlow; FT Kuo,NO AUTOCITA,,https://academic.oup.com/endo/article-abstract/152/4/1199/2457569,1b_pmaf_8AoJ
8,168,Divergent expression regulation of gonad development genes in medaka shows incomplete conservation of the downstream regulatory network of vertebrate sex …,"A Herpin, MC Adolfi, B Nicol… - Molecular biology …, 2013 - academic.oup.com",A Herpin; MC Adolfi; B Nicol,NO AUTOCITA,,https://academic.oup.com/mbe/article-abstract/30/10/2328/1246878,fAVEdC-PLNgJ
9,169,The epithelial Na+ channel (ENaC) in ovarian granulosa cells modulates Ca2+ mobilization and gonadotrophin signaling for estrogen homeostasis and female …,"X Ma, R Xu, J Chen, S Wang, P Hu, Y Wu… - Cell Communication and …, 2024 - Springer",X Ma; R Xu; J Chen; S Wang; P Hu; Y Wu…,NO AUTOCITA,,https://link.springer.com/article/10.1186/s12964-024-01778-5,bDnX0u_7I7AJ
10,170,Prognostic significance of FOXL2 mutation and mRNA expression in adult and juvenile granulosa cell tumors of the ovary,"E D'angelo, A Mozos, D Nakayama, I Espinosa… - Modern Pathology, 2011 - Elsevier",E D'angelo; A Mozos; D Nakayama; I Espinosa,NO AUTOCITA,,https://www.sciencedirect.com/science/article/pii/S0893395222018002,UZssUMUGXF0J
11,171,Paracrine regulation of granulosa cell development in the antral follicles in mammals,"K Sugiura, N Maruyama, Y Akimoto… - Reproductive …, 2023 - Wiley Online Library",K Sugiura; N Maruyama; Y Akimoto…,NO AUTOCITA,,https://onlinelibrary.wiley.com/doi/abs/10.1002/rmb2.12538,__P1HRwpQ1UJ
12,172,Sex-biased adaptive immune regulation in cancer development and therapy,"JM Schafer, T Xiao, H Kwon, K Collier, Y Chang… - Iscience, 2022 - cell.com",JM Schafer; T Xiao; H Kwon; K Collier; Y Chang,NO AUTOCITA,,https://www.cell.com/iscience/fulltext/S2589-0042(22)00989-0,wKW6fkCs7eMJ
13,173,Molecular cloning and quantitative expression of sexually dimorphic markers Dmrt1 and Foxl2 during female-to-male sex change in Epinephelus merra,"MA Alam, Y Kobayashi, R Horiguchi, T Hirai… - General and …, 2008 - Elsevier",MA Alam; Y Kobayashi; R Horiguchi; T Hirai…,NO AUTOCITA,,https://www.sciencedirect.com/science/article/pii/S0016648008001275,NF0eZRs-tgQJ
14,174,"Learning, menopause, and the human adaptive complex","H Kaplan, M Gurven, J Winking… - Annals of the New …, 2010 - Wiley Online Library",H Kaplan; M Gurven; J Winking,NO AUTOCITA,,https://nyaspubs.onlinelibrary.wiley.com/doi/abs/10.1111/j.1749-6632.2010.05528.x,jaeyRJrSOrQJ
15,175,Differential apoptotic activities of wild-type FOXL2 and the adult-type granulosa cell tumor-associated mutant FOXL2 (C134W),"JH Kim, S Yoon, M Park, HO Park, JJ Ko, K Lee, J Bae - Oncogene, 2011 - nature.com",JH Kim; S Yoon; M Park; HO Park; JJ Ko; K Lee; J Bae,NO AUTOCITA,,https://www.nature.com/articles/onc2010541,aXl-LMukddIJ
16,176,Single-nucleus multiomics of murine gonads reveals transcriptional regulatory network underlying supporting lineage differentiation,"YY Chen, K Rodriguez, AK Alexander, X Xu… - Science …, 2026 - science.org",YY Chen; K Rodriguez; AK Alexander; X Xu…,NO AUTOCITA,,https://www.science.org/doi/abs/10.1126/sciadv.aea7403,JpnaBy9xhFAJ
17,177,Reproductive aging and telomeres: Are women and men equally affected?,"L Chico-Sordo, I Cordova-Oriz, AM Polonio… - Mechanisms of Ageing …, 2021 - Elsevier",L Chico-Sordo; I Cordova-Oriz; AM Polonio…,NO AUTOCITA,,https://www.sciencedirect.com/science/article/pii/S0047637421001135,tDoRyTqMMQMJ
18,178,ERβ in granulosa cell tumors and its clinical potential,"M Birgersson, R Indukuri, P Antonson, I Nalvarte… - …, 2023 - academic.oup.com",M Birgersson; R Indukuri; P Antonson; I Nalvarte,NO AUTOCITA,,https://academic.oup.com/endo/article-abstract/164/6/bqad063/7131283,_TNyW4dgsawJ
19,179,FOXL2 versus SOX9: A lifelong “battle of the sexes”,"RA Veitia - Bioessays, 2010 - Wiley Online Library",RA Veitia,NO AUTOCITA,,https://onlinelibrary.wiley.com/doi/abs/10.1002/bies.200900193,d4N0kiUg23IJ
20,180,Male sex determination: insights into molecular mechanisms,"K McClelland, J Bowles… - Asian journal of …, 2011 - pmc.ncbi.nlm.nih.gov",K McClelland; J Bowles,NO AUTOCITA,,https://pmc.ncbi.nlm.nih.gov/articles/PMC3735148/,W6p9U-t49IsJ
1,181,WNT/β-catenin and p27/FOXL2 differentially regulate supporting cell proliferation in the developing ovary,"SE Gustin, K Hogg, JM Stringer, RH Rastetter… - Developmental …, 2016 - Elsevier",SE Gustin; K Hogg; JM Stringer; RH Rastetter…,NO AUTOCITA,,https://www.sciencedirect.com/science/article/pii/S0012160615302864,8-nh36y_VIQJ
2,182,Extracellular fluid miRNAs in PCOS,"S Hadi, SH Khoshraftar, AHK Darabi, A Soleimani… - Clinica Chimica …, 2025 - Elsevier",S Hadi; SH Khoshraftar; AHK Darabi; A Soleimani,NO AUTOCITA,,https://www.sciencedirect.com/science/article/pii/S0009898125002839,5B2yZDtwrU8J
3,183,Making sex revisited: Dekonstruktion des Geschlechts aus biologisch-medizinischer Perspektive,HJ Voß - 2015 - books.google.com,HJ Voß,NO AUTOCITA,,https://books.google.com/books?hl=en&lr=&id=FO1KCgAAQBAJ&oi=fnd&pg=PP1&ots=JyJi-zn1Pf&sig=SL8eLFcS7aRZ84lyYjgF1qetAtw,-P4cYkXsMUMJ
4,184,Deletions involving long-range conserved nongenic sequences upstream and downstream of FOXL2 as a novel disease-causing mechanism in blepharophimosis …,"D Beysen, J Raes, BP Leroy, A Lucassen… - The American Journal of …, 2005 - cell.com",D Beysen; J Raes; BP Leroy; A Lucassen,NO AUTOCITA,,https://www.cell.com/ajhg/fulltext/S0002-9297(07)62911-5,HLmwoRfEMxIJ
5,185,The comparison of animal models for premature ovarian failure established by several different source of inducers,"T Zhang, D Yan, Y Yang, A Ma, L Li, Z Wang… - Regulatory toxicology …, 2016 - Elsevier",T Zhang; D Yan; Y Yang; A Ma; L Li; Z Wang…,NO AUTOCITA,,https://www.sciencedirect.com/science/article/pii/S0273230016302501,qrfrPApj6LUJ
6,186,SMAD3 directly regulates cell cycle genes to maintain arrest in granulosa cells of mouse primordial follicles,"S Granados-Aparici, K Hardy, S Franks, IB Sharum… - Scientific reports, 2019 - nature.com",S Granados-Aparici; K Hardy; S Franks; IB Sharum,NO AUTOCITA,,https://www.nature.com/articles/s41598-019-42878-4,OLPcEsOT8IsJ
7,187,The transcription factor FOXL2: at the crossroads of ovarian physiology and pathology,"S Caburet, A Georges, D L'Hôte, AL Todeschini… - Molecular and cellular …, 2012 - Elsevier",S Caburet; A Georges; D L'Hôte; AL Todeschini,NO AUTOCITA,,https://www.sciencedirect.com/science/article/pii/S0303720711003376,slkMZjFn0JoJ
8,188,Signaling through the TGF beta-activin receptors ALK4/5/7 regulates testis formation and male germ cell development,"DC Miles, SI Wakeling, JM Stringer… - PloS one, 2013 - journals.plos.org",DC Miles; SI Wakeling; JM Stringer,NO AUTOCITA,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0054606,vDhUgNYpXlgJ
9,189,Testis determination requires a specific FGFR2 isoform to repress FOXL2,"S Bagheri-Fam, AD Bird, L Zhao, JM Ryan… - …, 2017 - academic.oup.com",S Bagheri-Fam; AD Bird; L Zhao; JM Ryan,NO AUTOCITA,,https://academic.oup.com/endo/article-abstract/158/11/3832/4117227,Qx5KP4GUB-UJ
10,190,Classical and molecular cytogenetics of disorders of sex development in domestic animals,"DAF Villagómez, P Parma, O Radi, G Di Meo… - … and Genome Research, 2009 - karger.com",DAF Villagómez; P Parma; O Radi; G Di Meo…,NO AUTOCITA,,https://karger.com/cgr/article-abstract/126/1-2/110/62736,PWcupm7FkggJ
11,191,Specificity of the requirement for Foxo3 in primordial follicle activation,"GB John, LJ Shirley, TD Gallardo… - Reproduction, 2007 - rep.bioscientifica.com",GB John; LJ Shirley; TD Gallardo,NO AUTOCITA,,https://rep.bioscientifica.com/view/journals/rep/133/5/1330855.xml,lH6LBtkjn0QJ
12,192,Starvation at birth impairs germ cell cyst breakdown and increases autophagy and apoptosis in mouse oocytes,"YY Wang, YC Sun, XF Sun, SF Cheng, B Li… - Cell death & …, 2017 - nature.com",YY Wang; YC Sun; XF Sun; SF Cheng; B Li…,NO AUTOCITA,,https://www.nature.com/articles/cddis20173,mVc99Fkd1pYJ
13,193,Antagonistic regulation of Cyp26b1 by transcription factors SOX9/SF1 and FOXL2 during gonadal development in mice,"K Kashimada, T Svingen, CW Feng… - The FASEB …, 2011 - pmc.ncbi.nlm.nih.gov",K Kashimada; T Svingen; CW Feng…,NO AUTOCITA,,https://pmc.ncbi.nlm.nih.gov/articles/PMC3177566/,3lNmo0Qob0sJ
14,194,Age-associated changes in mouse oocytes during postovulatory in vitro culture: possible role for meiotic kinases and survival factor BCL2,"C Tatone, MC Carbone, R Gallo… - Biology of …, 2006 - academic.oup.com",C Tatone; MC Carbone; R Gallo…,NO AUTOCITA,,https://academic.oup.com/biolreprod/article-abstract/74/2/395/2667004,kf1w1b5Us1gJ
15,195,The ovarian reserve in mammals: a functional and evolutionary perspective,"P Monget, J Bobe, A Gougeon, S Fabre… - Molecular and cellular …, 2012 - Elsevier",P Monget; J Bobe; A Gougeon; S Fabre…,NO AUTOCITA,,https://www.sciencedirect.com/science/article/pii/S030372071100459X,oS8_npyI2D4J
16,196,Absence of the proapoptotic Bax protein extends fertility and alleviates age-related health complications in female mice,"GI Perez, A Jurisicova, L Wise, T Lipina… - Proceedings of the …, 2007 - pnas.org",GI Perez; A Jurisicova; L Wise; T Lipina,NO AUTOCITA,,https://www.pnas.org/doi/abs/10.1073/pnas.0608557104,98uh4hvbHt4J
17,197,FoxL2 and Smad3 coordinately regulate follistatin gene transcription,"AL Blount, K Schmidt, NJ Justice, WW Vale… - Journal of Biological …, 2009 - Elsevier",AL Blount; K Schmidt; NJ Justice; WW Vale…,NO AUTOCITA,,https://www.sciencedirect.com/science/article/pii/S0021925820324753,sIxgSina_R8J
18,198,Differential isoform expression and alternative splicing in sex determination in mice,"B Planells, I Gómez-Redondo, E Pericuesta… - BMC genomics, 2019 - Springer",B Planells; I Gómez-Redondo; E Pericuesta,NO AUTOCITA,,https://link.springer.com/article/10.1186/s12864-019-5572-x,RDWs4KQe6aUJ
19,199,Single‐cell sequencing reveals the transcriptional alternations of 17β‐estradiol suppressing primordial follicle formation in neonatal mouse ovaries,"Y Yan, H Zhang, R Xu, L Luo, L Yin, H Wu… - Cell …, 2024 - Wiley Online Library",Y Yan; H Zhang; R Xu; L Luo; L Yin; H Wu…,NO AUTOCITA,,https://onlinelibrary.wiley.com/doi/abs/10.1111/cpr.13713,2mJMUwrysi0J
20,200,FOXL2 antagonises the male developmental pathway in embryonic chicken gonads,"AT Major, KL Ayers, J Chue… - Journal of …, 2019 - joe.bioscientifica.com",AT Major; KL Ayers; J Chue…,NO AUTOCITA,,https://joe.bioscientifica.com/view/journals/joe/aop/joe-19-0277.xml,iKpYCCfDVjAJ
1,201,Environmental sex determination and sex differentiation in teleosts–how sex is established,"ZG Shen, HP Wang - Sex control in aquaculture, 2018 - Wiley Online Library",ZG Shen; HP Wang,NO AUTOCITA,,https://onlinelibrary.wiley.com/doi/abs/10.1002/9781119127291.ch4,zYMd3z2sAYsJ
2,202,Nonsteroidal anti-inflammatory drugs (NSAIDs) cause male-biased sex differentiation in zebrafish,"C Bereketoglu, A Pradhan, PE Olsson - Aquatic Toxicology, 2020 - Elsevier",C Bereketoglu; A Pradhan; PE Olsson,NO AUTOCITA,,https://www.sciencedirect.com/science/article/pii/S0166445X19307118,NYRvMhkF3qEJ
3,203,Impaired Fertility and FSH Synthesis in Gonadotrope-Specific Foxl2 Knockout Mice,"S Tran, X Zhou, C Lafleur, MJ Calderon… - Molecular …, 2013 - academic.oup.com",S Tran; X Zhou; C Lafleur; MJ Calderon…,NO AUTOCITA,,https://academic.oup.com/mend/article-abstract/27/3/407/2615040,uu3RZhoDrUEJ
4,204,Nuclear exclusion of SMAD2/3 in granulosa cells is associated with primordial follicle activation in the mouse ovary,"K Hardy, JM Mora, C Dunlop… - Journal of Cell …, 2018 - journals.biologists.com",K Hardy; JM Mora; C Dunlop,NO AUTOCITA,,https://journals.biologists.com/jcs/article-abstract/131/17/jcs218123/56993,l7l56rK0NcAJ
5,205,"Anatomy, abdomen and pelvis: female internal genitals","BS Hoare, BA Mikes, YS Khan - StatPearls [Internet], 2025 - ncbi.nlm.nih.gov",BS Hoare; BA Mikes; YS Khan,NO AUTOCITA,,https://www.ncbi.nlm.nih.gov/sites/books/NBK554601/,B6ZonTQqNI0J
6,206,"Normal Levels of Sox9 Expression in the Developing Mouse Testis Depend on the TES/TESCO Enhancer, but This Does Not Act Alone","N Gonen, A Quinn, HC O'Neill, P Koopman… - PLoS …, 2017 - journals.plos.org",N Gonen; A Quinn; HC O'Neill; P Koopman,NO AUTOCITA,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1006520,jSLchKfnGJoJ
7,207,DMRT1 is a testis-determining gene in rabbits and is also essential for female fertility,"E Dujardin, M André, A Dewaele, B Mandon-Pépin… - Elife, 2023 - elifesciences.org",E Dujardin; M André; A Dewaele; B Mandon-Pépin…,NO AUTOCITA,,https://elifesciences.org/articles/89284,FDhju08zJeUJ
8,208,Transcription factor FOXL2 protects granulosa cells from stress and delays cell cycle: role of its regulation by the SIRT1 deacetylase,"BA Benayoun, AB Georges, D L'Hôte… - Human molecular …, 2011 - academic.oup.com",BA Benayoun; AB Georges; D L'Hôte…,NO AUTOCITA,,https://academic.oup.com/hmg/article-abstract/20/9/1673/880673,uVrah5OkD_UJ
9,209,Oestrogen in the chick embryo can induce chromosomally male ZZ left gonad epithelial cells to form an ovarian cortex that can support oogenesis,"S Guioli, D Zhao, S Nandi, M Clinton… - …, 2020 - journals.biologists.com",S Guioli; D Zhao; S Nandi; M Clinton…,NO AUTOCITA,,https://journals.biologists.com/dev/article-abstract/147/4/dev181693/223235,oRx9NFMgCREJ
10,210,Aetiological coding sequence variants in non-syndromic premature ovarian failure: From genetic linkage analysis to next generation sequencing,"P Laissue - Molecular and cellular endocrinology, 2015 - Elsevier",P Laissue,NO AUTOCITA,,https://www.sciencedirect.com/science/article/pii/S0303720715002397,g8vWO-E8R8EJ
11,211,"The UV filter benzophenone 3, alters early follicular assembly in rat whole ovary cultures","CG Santamaría, JE Abud, MM Porporato, N Meyer… - Toxicology letters, 2019 - Elsevier",CG Santamaría; JE Abud; MM Porporato; N Meyer…,NO AUTOCITA,,https://www.sciencedirect.com/science/article/pii/S0378427418320708,szWoKzfMB18J
12,212,Comprehensive transcriptomic analysis of the process of gonadal sex differentiation in the turbot (Scophthalmus maximus),"L Ribas, D Robledo, A Gómez-Tato, A Viñas… - Molecular and Cellular …, 2016 - Elsevier",L Ribas; D Robledo; A Gómez-Tato; A Viñas…,NO AUTOCITA,,https://www.sciencedirect.com/science/article/pii/S0303720715301313,m3TtEHHoggAJ
13,213,"Genetics of ovarian differentiation: Rspo1, a major player","AA Chassot, EP Gregoire, M Magliano, R Lavery… - Sexual …, 2008 - karger.com",AA Chassot; EP Gregoire; M Magliano; R Lavery…,NO AUTOCITA,,https://karger.com/sxd/article/2/4-5/219/308452,INgPwOsRVA8J
14,214,Comparative Transcriptome Analysis Reveals Sex-Biased Gene Expression in Juvenile Chinese Mitten Crab Eriocheir sinensis,"Y Liu, M Hui, Z Cui, D Luo, C Song, Y Li, L Liu - PLoS One, 2015 - journals.plos.org",Y Liu; M Hui; Z Cui; D Luo; C Song; Y Li; L Liu,NO AUTOCITA,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0133068,plYuMCq59SQJ
15,215,The genetic make‐up of ovarian development and function: the focus on the transcription factor FOXL2,"M Elzaiat, AL Todeschini, S Caburet… - Clinical genetics, 2017 - Wiley Online Library",M Elzaiat; AL Todeschini; S Caburet,NO AUTOCITA,,https://onlinelibrary.wiley.com/doi/abs/10.1111/cge.12862,pn3yGIfvPOYJ
16,216,From sex determination to initial folliculogenesis in mammalian ovaries: morphogenetic waves along the anteroposterior and dorsoventral axes,"H Suzuki, M Kanai-Azuma, Y Kanai - Sexual Development, 2015 - karger.com",H Suzuki; M Kanai-Azuma; Y Kanai,NO AUTOCITA,,https://karger.com/sxd/article/9/4/190/296412,_LvTlyZfrbAJ
17,217,Transcriptomic analysis of mRNA expression and alternative splicing during mouse sex determination,"L Zhao, C Wang, ML Lehman, M He, J An… - Molecular and cellular …, 2018 - Elsevier",L Zhao; C Wang; ML Lehman; M He; J An,NO AUTOCITA,,https://www.sciencedirect.com/science/article/pii/S030372071830234X,dKNRoIQsVTsJ
18,218,FOXL2 regulates RhoA expression to change actin cytoskeleton rearrangement in granulosa cells of chicken pre-ovulatory follicles,"X Li, H Du, H Zhou, Y Huang, S Tang, C Yu… - Biology of …, 2024 - academic.oup.com",X Li; H Du; H Zhou; Y Huang; S Tang; C Yu…,NO AUTOCITA,,https://academic.oup.com/biolreprod/article-abstract/111/2/391/7687480,Lt_ORPxfGlIJ
19,219,Aberrant and constitutive expression of FOXL2 impairs ovarian development and functions in mice,"B Nicol, K Rodriguez, HHC Yao - Biology of Reproduction, 2020 - academic.oup.com",B Nicol; K Rodriguez; HHC Yao,NO AUTOCITA,,https://academic.oup.com/biolreprod/article-abstract/103/5/966/5895287,wbfTbVIbOfgJ
20,220,"Aging of oocyte, ovary, and human reproduction","C Ottolenghi, M Uda, T Hamatani… - Annals of the New …, 2004 - Wiley Online Library",C Ottolenghi; M Uda; T Hamatani…,NO AUTOCITA,,https://nyaspubs.onlinelibrary.wiley.com/doi/abs/10.1196/annals.1335.015,ZlMsxv5ioGIJ
1,221,Testicular differentiation occurs in absence of R-spondin1 and Sox9 in mouse sex reversals,"R Lavery, AA Chassot, E Pauper, EP Gregoire… - PLoS …, 2012 - journals.plos.org",R Lavery; AA Chassot; E Pauper; EP Gregoire…,NO AUTOCITA,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1003170,rZL2FpB3_KoJ
2,222,Somatic regulation of female germ cell regeneration and development in planarians,"UW Khan, PA Newmark - Cell reports, 2022 - cell.com",UW Khan; PA Newmark,NO AUTOCITA,,https://www.cell.com/cell-reports/fulltext/S2211-1247(22)00261-3,TzdNPfmrA7MJ
3,223,"Wnt4, a pleiotropic signal for controlling cell polarity, basement membrane integrity, and antimullerian hormone expression during oocyte maturation in the female …","R Prunskaite‐Hyyrylainen, J Shan, A Railo… - The FASEB …, 2014 - Wiley Online Library",R Prunskaite‐Hyyrylainen; J Shan; A Railo…,NO AUTOCITA,,https://faseb.onlinelibrary.wiley.com/doi/abs/10.1096/fj.13-233247,wJG9J0X9n5YJ
4,224,Molecular mechanisms of folliculogenesis and oogenesis,"MA Ezz, AZ Balboula - Systems Biology in Reproductive Medicine, 2026 - Taylor & Francis",MA Ezz; AZ Balboula,NO AUTOCITA,,https://www.tandfonline.com/doi/abs/10.1080/19396368.2026.2631558,FQI2VXyrw0YJ
5,225,"Follicular development: mouse, sheep, and human models","SA Pangas, A Rajkovic - Knobil and Neill's Physiology of Reproduction …, 2014 - elibrary.ru",SA Pangas; A Rajkovic,NO AUTOCITA,,https://elibrary.ru/item.asp?id=31820510,kj6-33HCptUJ
6,226,In vitro activation of ovarian cortex and autologous transplantation: A novel approach to primary ovarian insufficiency and diminished ovarian reserve,"L Devenutto, R Quintana… - Human Reproduction …, 2020 - academic.oup.com",L Devenutto; R Quintana…,NO AUTOCITA,,https://academic.oup.com/hropen/article-abstract/2020/4/hoaa046/5983369,EBopjdoBbu4J
7,227,Changes in the expression of DNA double strand break repair genes in primordial follicles from immature and aged rats,"V Govindaraj, RK Basavaraju, AJ Rao - Reproductive BioMedicine Online, 2015 - Elsevier",V Govindaraj; RK Basavaraju; AJ Rao,NO AUTOCITA,,https://www.sciencedirect.com/science/article/pii/S1472648314006403,NT0xA_xXr3YJ
8,228,"Foxl2 gene and the development of the ovary: a story about goat, mouse, fish and woman","D Baron, F Batista, S Chaffaux… - Reproduction …, 2005 - rnd.edpsciences.org",D Baron; F Batista; S Chaffaux…,NO AUTOCITA,,https://rnd.edpsciences.org/articles/rnd/abs/2005/03/r5314/r5314.html,fw3a5wtNaDYJ
9,229,"It's a trap?! Escape from an ancient, ancestral sex chromosome system and implication of Foxl2 as the putative primary sex-determining gene in a lizard …","BJ Pinto, SV Nielsen, KA Sullivan, A Behere… - …, 2024 - academic.oup.com",BJ Pinto; SV Nielsen; KA Sullivan; A Behere,NO AUTOCITA,,https://academic.oup.com/evolut/article-abstract/78/2/355/7411358,iMkdTJMY2qIJ
10,230,The transcriptional targets of mutant FOXL2 in granulosa cell tumours,"R Rosario, H Araki, CG Print, AN Shelling - 2012 - journals.plos.org",R Rosario; H Araki; CG Print; AN Shelling,NO AUTOCITA,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0046270,8satEEFwg0QJ
11,231,Dynamics of the transcriptional landscape during human fetal testis and ovary development,"E Lecluze, AD Rolland, P Filis, B Evrard… - Human …, 2020 - academic.oup.com",E Lecluze; AD Rolland; P Filis; B Evrard…,NO AUTOCITA,,https://academic.oup.com/humrep/article-abstract/35/5/1099/5837511,kK-iow-ER1kJ
12,232,Inactivation of Wt1 causes pre-granulosa cell to steroidogenic cell transformation and defect of ovary development,"C Cen, M Chen, J Zhou, L Zhang, S Duo… - Biology of …, 2020 - academic.oup.com",C Cen; M Chen; J Zhou; L Zhang; S Duo…,NO AUTOCITA,,https://academic.oup.com/biolreprod/article-abstract/103/1/60/5818877,-zLEp8olq-EJ
13,233,Recent advances in the study of genes involved in non-syndromic premature ovarian failure,"P Laissue, G Vinci, RA Veitia, M Fellous - Molecular and Cellular …, 2008 - Elsevier",P Laissue; G Vinci; RA Veitia; M Fellous,NO AUTOCITA,,https://www.sciencedirect.com/science/article/pii/S0303720707004170,K6LLnmFS5xoJ
14,234,The role of forkhead box family in bone metabolism and diseases,"J Xu, K Wang, Z Zhang, D Xue, W Li… - Frontiers in …, 2022 - frontiersin.org",J Xu; K Wang; Z Zhang; D Xue; W Li…,NO AUTOCITA,,https://www.frontiersin.org/journals/pharmacology/articles/10.3389/fphar.2021.772237/full,Xii2_Fr8JE4J
15,235,"Sexually dimorphic expression of foxl2 during gametogenesis in scallop Chlamys farreri, conserved with vertebrates","XL Liu, ZF Zhang, MY Shao, JG Liu… - Development Genes and …, 2012 - Springer",XL Liu; ZF Zhang; MY Shao; JG Liu…,NO AUTOCITA,,https://link.springer.com/article/10.1007/s00427-012-0410-z,dDKptfpjxw4J
16,236,Identification and functional analysis of a sex-biased transcriptional factor Foxl2 in the bay scallop Argopecten irradians irradians,"J Ning, W Cao, X Lu, M Chen, B Liu, C Wang - … and Physiology Part B …, 2021 - Elsevier",J Ning; W Cao; X Lu; M Chen; B Liu; C Wang,NO AUTOCITA,,https://www.sciencedirect.com/science/article/pii/S1096495921000774,jqAoGz1bRbgJ
